x,y,ultra_blue,blue,green,red,nir,swir1,swir2,d-ndvi
568569.1,2329749,0.0380125,0.0403225,0.070875,0.0536325,0.32877,0.1780975,0.0902075,0.04307127
587940.6,2335759,0.05036,0.057895,0.0946625,0.0878975,0.3036075,0.2323,0.135995,-0.045541227
588680.1,2328272,0.04556125,0.0477475,0.08314,0.07251125,0.29966125,0.17255625,0.0951025,-0.006657064
559535.3,2325769,0.03348875,0.03947,0.07764,0.0610025,0.3571775,0.2122525,0.1117675,0.013934016
601485,2324264,0.052615,0.05927,0.0887225,0.0817375,0.3315475,0.19402,0.1218875,-0.00499177
559907.3,2330259,0.04223375,0.05344,0.08623375,0.08895625,0.27642375,0.22299125,0.13136125,0.065778971
591389.4,2314218,0.055035,0.062295,0.09458,0.08732,0.2946425,0.1949825,0.1148475,-0.028357685
574688.6,2339008,0.04415875,0.04981,0.08513375,0.0811325,0.27161125,0.177465,0.106185,0.046174705
590148.3,2335055,0.04552,0.05135,0.0830575,0.0739275,0.266895,0.1828825,0.10558,0.037406027
566514.3,2334239,0.04079,0.05124,0.094745,0.1014825,0.2818,0.2213,0.1427325,0.050746322
559452.4,2324532,0.04189,0.04960375,0.0874025,0.0747525,0.3188425,0.22681375,0.1343725,0.022945881
534675.4,2340763,0.0339425,0.0442275,0.0748075,0.0592425,0.31359,0.190445,0.1085225,-0.001081467
589155.3,2354441,0.03579875,0.0468675,0.08076125,0.0771725,0.2767675,0.15585,0.07874,0.008320808
555931.8,2315698,0.03700875,0.04248125,0.07861625,0.06360125,0.3216475,0.1974025,0.1124,0.045289516
587365.3,2342357,0.0354275,0.043045,0.08205375,0.06318875,0.290105,0.19664625,0.099805,-0.06468159
548061.4,2343174,0.05942125,0.06827625,0.12164,0.13490875,0.24592625,0.23759375,0.176255,0.071547687
598866.6,2285407,0.0536325,0.0563,0.0854225,0.07632,0.30578,0.1944875,0.113555,-0.044797599
565119.1,2315096,0.04008875,0.04773375,0.08257625,0.08164125,0.2531175,0.16414125,0.09096375,-0.051524401
576775.6,2304865,0.03386,0.0364725,0.06200625,0.04644125,0.30499625,0.15957625,0.07355625,0.052986741
578471,2340622,0.0558325,0.06554,0.1047825,0.097275,0.263045,0.18907,0.11664875,0.052980006
576023.4,2300823,0.0457675,0.04899875,0.08155875,0.066365,0.31079875,0.17778125,0.093425,0.003488958
582000.9,2302364,0.049975,0.059765,0.090675,0.0766775,0.299895,0.1699025,0.07973,0.022608697
584604.3,2292198,0.0431275,0.04558875,0.06637875,0.05614875,0.26068,0.1587375,0.0845425,-0.062809467
569301.9,2330702,0.03423125,0.04336125,0.07880875,0.068675,0.30567,0.18291,0.0980175,-0.029241979
561678.4,2304488,0.0387825,0.0472525,0.081105,0.0673825,0.3309975,0.2058175,0.123125,-0.004720986
571249.4,2318476,0.0400475,0.0429075,0.0712325,0.0547325,0.29489,0.17983,0.09062,0.002120674
555311.3,2320870,0.03046375,0.04050125,0.08021125,0.067795,0.36431375,0.20800375,0.10908625,0.016682744
