x,y,ultra_blue,blue,green,red,nir,swir1,swir2,d-ndvi
566539.1502,2339577,0.04563,0.056905,0.1007675,0.102995,0.06565,0.018185,0.011585,-0.007709295
560483.1687,2312037,0.02726,0.03387375,0.06439875,0.04927375,0.07418875,0.0359225,0.0210175,-0.158403456
596258.9472,2330204,0.06873,0.0773925,0.11878,0.12571,0.085505,0.0306425,0.018625,-0.023967505
546830.2853,2331806,0.0141975,0.0187625,0.05378375,0.032155,0.2593325,0.1120425,0.04497,0.040889978
585185.8951,2324284,0.03687125,0.039195,0.0536325,0.04077625,0.043045,0.02286,0.01608125,-0.046385884
577914.825,2333272,0.06334,0.07443625,0.11497125,0.12344125,0.063835,0.02155375,0.0129875,-0.019543394
579075.9414,2303826,0.0428525,0.0489575,0.0796475,0.0695825,0.0861925,0.0479125,0.0284425,-0.047869533
589052.0795,2318785,0.0215675,0.0270125,0.04904,0.03342,0.0512675,0.0203575,0.0123,0.046129614
540924.575,2338906,0.01956,0.025775,0.05254625,0.032595,0.0415875,0.018075,0.01124125,-0.026097268
535925.5627,2346466,0.0404325,0.0551175,0.08862625,0.0714525,0.05653375,0.0276175,0.017305,-0.005627155
547109.5894,2343823,0.05447125,0.066695,0.10919625,0.1042875,0.06906,0.021155,0.0129875,-0.050260305
590810.3665,2323472,0.07212625,0.079675,0.11414625,0.13193875,0.06312,0.01839125,0.0117225,0.003856659
594222.5211,2321100,0.065705,0.072635,0.1120975,0.1295875,0.0645225,0.01978,0.0139225,-0.008603379
584708.4847,2329491,0.03145375,0.03887875,0.06246,0.04657875,0.04673,0.023025,0.01773125,-0.055731416
586232.9477,2327210,0.035455,0.0387825,0.0591325,0.0465925,0.0488475,0.0212925,0.0166725,-0.082097024
595421.2617,2300150,0.06147,0.07256625,0.10652875,0.09909,0.05735875,0.02576125,0.01421125,-0.017469883
549402.2625,2326638,0.0275075,0.036445,0.0672725,0.0414225,0.04244,0.016645,0.0117775,-0.033758968
577784.2663,2301058,0.040295,0.0393325,0.054485,0.0424675,0.1146,0.0578125,0.0326775,-0.049158394
592982.5869,2310820,0.06841375,0.07699375,0.1168,0.12142,0.0841575,0.03662375,0.0278375,-0.001860559
538674.0325,2339244,0.0207975,0.02638,0.0551175,0.0354275,0.0451625,0.0188725,0.0112825,-0.059992105
543338.718,2341638,0.03265,0.0414775,0.0780525,0.06697,0.0823975,0.0467025,0.03386,-0.082674086
577087.6641,2322248,0.08782875,0.10124875,0.15190375,0.1662725,0.1177075,0.04948,0.03568875,-0.16581659
574095.3622,2337973,0.058775,0.063615,0.1112725,0.1086325,0.0859725,0.048215,0.0331725,-0.037463486
549585.2097,2329730,0.02037125,0.0305875,0.072195,0.04387,0.043265,0.01828125,0.01102125,-0.085811228
