X,Y,label
579868.1,2275393,forest
544168.9,2323000,forest
542199.8,2324056,forest
575958,2281037,forest
584147.2,2358025,forest
558420.6,2335732,forest
535333.8,2329276,forest
547290.3,2327958,forest
549837.5,2324545,forest
545829.8,2324742,forest
540312.3,2336847,forest
583556.8,2337285,forest
550518.4,2316816,forest
536274.9,2340128,forest
533244.2,2327633,forest
544514.7,2340862,forest
581564.2,2335486,forest
575548.3,2278945,forest
544784.3,2333083,forest
558171.9,2338410,forest
