X,Y,label
571774.4,2334745,wetlands 
535993.4,2346424,wetlands 
544974.3,2352038,wetlands 
545957.3,2351102,wetlands 
544586.6,2352553,wetlands 
546268.7,2349599,wetlands 
531271.8,2325399,wetlands 
530068.2,2339996,wetlands 
540529.4,2352227,wetlands 
596788.9,2307990,wetlands 
541983.3,2354734,wetlands 
560571.1,2318632,wetlands 
591474.1,2301058,wetlands 
585366.6,2308551,wetlands 
593601.4,2309142,wetlands 
545566.1,2351610,wetlands 
541554.4,2354926,wetlands 
575527.3,2331294,wetlands 
585660.1,2300850,wetlands 
560482.4,2340130,wetlands 
591126.9,2290971,wetlands 
580715.3,2311129,wetlands 
562764.1,2340947,wetlands 
545869.6,2349901,wetlands 
543317.3,2353710,wetlands 
577648.7,2333712,wetlands 
530797.9,2341712,wetlands 
541077.6,2354793,wetlands 
